Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Saint Kitts and Nevis,KN
2023-01-02,Carnival Day,['National holiday'],Saint Kitts and Nevis,KN
2023-01-03,Carnival Day (Last Lap),['National holiday'],Saint Kitts and Nevis,KN
2023-03-20T17:24:20-04:00,March Equinox,['Season'],Saint Kitts and Nevis,KN
2023-04-07,Good Friday,['National holiday'],Saint Kitts and Nevis,KN
2023-04-10,Easter Monday,['National holiday'],Saint Kitts and Nevis,KN
2023-05-01,Labor Day / May Day,['National holiday'],Saint Kitts and Nevis,KN
2023-05-29,Whit Monday,['National holiday'],Saint Kitts and Nevis,KN
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Saint Kitts and Nevis,KN
2023-07-04,50th Anniversary of CARICOM Holiday,['National holiday'],Saint Kitts and Nevis,KN
2023-08-07,Emancipation Day,['National holiday'],Saint Kitts and Nevis,KN
2023-08-08,Culturama Day,['National holiday'],Saint Kitts and Nevis,KN
2023-08-25,Kim Collins Day,['Observance'],Saint Kitts and Nevis,KN
2023-09-16,National Heroes Day,['National holiday'],Saint Kitts and Nevis,KN
2023-09-19,Independence Day,['National holiday'],Saint Kitts and Nevis,KN
2023-09-23T02:50:01-04:00,September Equinox,['Season'],Saint Kitts and Nevis,KN
2023-12-21T23:27:21-04:00,December Solstice,['Season'],Saint Kitts and Nevis,KN
2023-12-25,Christmas Day,['National holiday'],Saint Kitts and Nevis,KN
2023-12-26,Boxing Day,['National holiday'],Saint Kitts and Nevis,KN
